course;number;created_at;hiragana;katakana;kanji;kana;german;pos;key;updated_at
A1.1;4;2019-03-21;;;;<ruby><rb>庭</rb><rt>にわ</rt></ruby>;Garten;名;;2020-01-18
A1.1;4;2019-03-21;;;;<ruby><rb>庭</rb><rt>にわ</rt></ruby><ruby><rb>仕</rb><rt>し</rt></ruby><ruby><rb>事</rb><rt>ごと</rt></ruby>;im Garten arbeiten;動;;2020-01-18
A1.1;4;2019-03-21;;;;コンピュータゲーム;Videospiel;名;;2020-01-18
A1.1;4;2019-03-21;;;;ゲーム;Game / Spiel;名;;2020-01-18
A1.1;4;2019-03-21;;;;サイクリング;Fahrrad fahren;名;;2020-01-18
A1.1;4;2019-03-21;;;;<ruby><rb>日本語</rb><rt>にほんご</rt></ruby><ruby><rb>学習</rb><rt>がくしゆう</rt></ruby>;Japanisch lernen;動;;2020-01-18
A1.1;4;2019-03-21;;;;<ruby><rb>写</rb><rt>しゃ</rt></ruby><ruby><rb>真</rb><rt>しん</rt></ruby>;Fotografie;名;;2020-01-18
A1.1;5;2019-03-28;;;;あなた;Du / Sie;直示;;2019-03-31
A1.1;5;2019-03-28;;;;<ruby><rb>私</rb><rt>わたし</rt></ruby>;Ich;直示;;2020-01-18
A1.1;5;2019-03-28;;;;<ruby><rb>肉</rb><rt>にく</rt></ruby>;Fleisch;名;;2020-01-18
A1.1;5;2019-03-28;;;;<ruby><rb>犬</rb><rt>いぬ</rt></ruby>;Hund;名;;2020-01-18
A1.1;5;2019-03-28;;;;<ruby><rb>猫</rb><rt>ねこ</rt></ruby>;Katze;名;;2020-01-18
A1.1;5;2019-03-28;;;;<ruby><rb>海</rb><rt>のり</rt></ruby><ruby><rb>苔</rb><rt></rt></ruby>;Nori;名;;2020-01-18
A1.1;5;2019-03-28;;;;<ruby><rb>二</rb><rt>に</rt></ruby><ruby><rb>十</rb><rt>じゅう</rt></ruby><ruby><rb>一</rb><rt>いち</rt></ruby>;21;数;;2020-01-18
A1.1;5;2019-03-28;;;;<ruby><rb>二</rb><rt>に</rt></ruby><ruby><rb>十</rb><rt>じゅう</rt></ruby><ruby><rb>二</rb><rt>に</rt></ruby>;22;数;;2020-01-18
A1.1;5;2019-03-28;;;;<ruby><rb>二</rb><rt>に</rt></ruby><ruby><rb>十</rb><rt>じゅう</rt></ruby><ruby><rb>三</rb><rt>さん</rt></ruby>;23;数;;2020-01-18
A1.1;5;2019-03-28;;;;<ruby><rb>二</rb><rt>に</rt></ruby><ruby><rb>十</rb><rt>じゅう</rt></ruby><ruby><rb>四</rb><rt>し</rt></ruby>・<ruby><rb>二</rb><rt>に</rt></ruby><ruby><rb>十</rb><rt>じゅう</rt></ruby><ruby><rb>四</rb><rt>よん</rt></ruby>;24;数;;2020-01-18
A1.1;5;2019-03-28;;;;<ruby><rb>二</rb><rt>に</rt></ruby><ruby><rb>十</rb><rt>じゅう</rt></ruby><ruby><rb>五</rb><rt>ご</rt></ruby>;25;数;;2020-01-18
A1.1;5;2019-03-28;;;;<ruby><rb>二</rb><rt>に</rt></ruby><ruby><rb>十</rb><rt>じゅう</rt></ruby><ruby><rb>六</rb><rt>ろく</rt></ruby>;26;数;;2020-01-18
A1.1;5;2019-03-28;;;;<ruby><rb>二</rb><rt>に</rt></ruby><ruby><rb>十</rb><rt>じゅう</rt></ruby><ruby><rb>七</rb><rt>なな</rt></ruby>・<ruby><rb>二</rb><rt>に</rt></ruby><ruby><rb>十</rb><rt>じゅう</rt></ruby><ruby><rb>七</rb><rt>しち</rt></ruby>;27;数;;2020-01-18
A1.1;5;2019-03-28;;;;<ruby><rb>二</rb><rt>に</rt></ruby><ruby><rb>十</rb><rt>じゅう</rt></ruby><ruby><rb>八</rb><rt>はち</rt></ruby>;28;数;;2020-01-18
A1.1;5;2019-03-28;;;;<ruby><rb>二</rb><rt>に</rt></ruby><ruby><rb>十</rb><rt>じゅう</rt></ruby><ruby><rb>九</rb><rt>きゅう</rt></ruby>;29;数;;2020-01-18
A1.1;5;2019-03-28;;;;<ruby><rb>三</rb><rt>さん</rt></ruby><ruby><rb>十</rb><rt>じゅう</rt></ruby>;30;数;;2020-01-18
A1.1;5;2019-03-28;;;;<ruby><rb>食</rb><rt>た</rt></ruby>べ<ruby><rb>物</rb><rt>もの</rt></ruby>;Essen;名;;2020-01-18
A1.1;5;2019-03-28;;;;ご<ruby><rb>飯</rb><rt>はん</rt></ruby>;Essen (Reis);名;;2020-01-18
A1.1;5;2019-03-28;;;;<ruby><rb>食</rb><rt>しょく</rt></ruby><ruby><rb>事</rb><rt>じ</rt></ruby>;Essen (Mahlzeit);名;;2020-01-18
A1.1;5;2019-03-28;;;;<ruby><rb>米</rb><rt> べい</rt></ruby>; Reis (ungekocht);名;;2020-01-18
A1.1;5;2019-03-28;;;;ご<ruby><rb>飯</rb><rt>はん</rt></ruby>; Reis (gekocht);名;;2020-01-18
A1.1;5;2019-03-28;;;;わたしのすきなたべものは、☐ です。;Mein Lieblingsessen ist ☐ .;文;my_favorite_food_is;2020-01-18
A1.1;5;2019-03-28;;;;<ruby><rb>頭</rb><rt>あたま</rt></ruby>がいい;klug;形;;2020-01-18
A1.1;5;2019-03-28;;;;<ruby><rb>頭</rb><rt>あたま</rt></ruby>が<ruby><rb>良</rb><rt>よ</rt></ruby>い;klug;形;;2020-01-18
A1.1;5;2019-03-28;;;;ピザ;Pizza;名;;2020-01-18
A1.1;5;2019-03-28;;;;<ruby><rb>麺</rb><rt>めん</rt></ruby><ruby><rb>類</rb><rt>るい</rt></ruby>;Nudelgericht;名;;2020-01-18
A1.1;5;2019-03-28;;;;ケバブ;Kebap;名;;2020-01-18
